Activation	Train Accuracy (%)	Test Accuracy (%)	Duration (s)
ReLU	72.14	67.38	22.60
GLU	57.91	54.61	22.91
OneSin	43.75	43.71	23.20
Sigmoid	48.20	47.71	22.55
Tanh	75.54	68.54	23.82
LReLU	73.66	68.42	24.11
Rational	46.20	46.04	23.18
RARE	53.97	51.58	23.10
RationalCUDA	74.69	65.41	23.52
ReLU	72.14	67.38	23.52
GLU	57.91	54.61	23.47
OneSin	43.75	43.71	23.05
Sigmoid	48.20	47.71	23.45
Tanh	75.54	68.54	22.70
LReLU	73.66	68.42	22.79
Rational	46.20	46.04	23.31
RARE	53.97	51.58	23.44
RationalCUDA	74.88	66.02	23.26
